Bandit,Reward,Algorithm
1,0.8041340924517322,EpsilonGreedy
1,2.4346788363573664,EpsilonGreedy
1,2.286616140184289,EpsilonGreedy
1,1.8215397894501268,EpsilonGreedy
1,2.1581893763520426,EpsilonGreedy
1,1.5465434095602555,EpsilonGreedy
1,1.3516506041589347,EpsilonGreedy
1,1.0143789409508344,EpsilonGreedy
1,1.6872005006836337,EpsilonGreedy
1,3.6033735902753743,EpsilonGreedy
1,1.3760067969053646,EpsilonGreedy
1,1.67352766152692,EpsilonGreedy
1,1.94755602854398,EpsilonGreedy
1,1.170507466184438,EpsilonGreedy
1,2.360202607885775,EpsilonGreedy
1,2.264088270142691,EpsilonGreedy
1,3.8453322630406896,EpsilonGreedy
1,2.711345632098916,EpsilonGreedy
1,1.6173987298102341,EpsilonGreedy
1,1.660266415802854,EpsilonGreedy
1,2.9292361695580764,EpsilonGreedy
1,2.3789223819652543,EpsilonGreedy
1,3.0814976752907652,EpsilonGreedy
1,1.7325163551105962,EpsilonGreedy
1,1.870942868863615,EpsilonGreedy
1,2.0208862684056306,EpsilonGreedy
3,5.130282269387053,EpsilonGreedy
3,3.230639705666243,EpsilonGreedy
3,2.2019185196980966,EpsilonGreedy
3,3.030768509618141,EpsilonGreedy
3,7.626299121381112,EpsilonGreedy
3,3.338222058626597,EpsilonGreedy
3,3.4287124917667318,EpsilonGreedy
3,5.265219748654186,EpsilonGreedy
3,2.4056055579692135,EpsilonGreedy
3,3.73949287335909,EpsilonGreedy
3,3.777997435349044,EpsilonGreedy
3,1.3428171205494221,EpsilonGreedy
3,5.097209891770097,EpsilonGreedy
3,3.7047230525161243,EpsilonGreedy
3,3.282237925229019,EpsilonGreedy
3,4.332025254732879,EpsilonGreedy
3,1.9458323548695708,EpsilonGreedy
3,5.243490402244101,EpsilonGreedy
3,3.2224292102964873,EpsilonGreedy
3,4.5942437005808845,EpsilonGreedy
3,4.756413962381497,EpsilonGreedy
3,3.846951313057183,EpsilonGreedy
3,3.5995645687472337,EpsilonGreedy
3,2.7872179967531903,EpsilonGreedy
3,3.8399307233745343,EpsilonGreedy
3,5.407948672833986,EpsilonGreedy
3,3.273680779466834,EpsilonGreedy
3,3.005017450700308,EpsilonGreedy
3,3.3178540763401547,EpsilonGreedy
3,4.75015317898387,EpsilonGreedy
3,4.341484731328974,EpsilonGreedy
3,2.5076158335577574,EpsilonGreedy
0,1.4581921305796546,EpsilonGreedy
3,4.255783909973771,EpsilonGreedy
3,3.36005416831767,EpsilonGreedy
3,3.902177964067868,EpsilonGreedy
3,4.258309272341906,EpsilonGreedy
1,1.5329410302654993,EpsilonGreedy
3,3.7859936909947693,EpsilonGreedy
3,4.473469716091843,EpsilonGreedy
3,2.5577447745282704,EpsilonGreedy
3,3.443712535026436,EpsilonGreedy
3,4.394129891636128,EpsilonGreedy
3,4.119620124098613,EpsilonGreedy
3,4.519209263424053,EpsilonGreedy
3,3.864120419227154,EpsilonGreedy
3,5.623891772642715,EpsilonGreedy
3,3.762775065949521,EpsilonGreedy
3,5.038622714770585,EpsilonGreedy
3,3.7047694532228586,EpsilonGreedy
3,3.364876923058388,EpsilonGreedy
3,5.3869682880618095,EpsilonGreedy
3,4.157455074938899,EpsilonGreedy
3,5.298966303563597,EpsilonGreedy
3,3.292189766429477,EpsilonGreedy
3,5.241755088214529,EpsilonGreedy
3,4.0609999928411815,EpsilonGreedy
3,1.5808091461393428,EpsilonGreedy
3,3.4196751087516484,EpsilonGreedy
1,1.9821725061196982,EpsilonGreedy
3,2.9760224711952237,EpsilonGreedy
3,2.711134616104733,EpsilonGreedy
3,3.8305960090158835,EpsilonGreedy
3,3.6264135701232476,EpsilonGreedy
3,4.751549721940121,EpsilonGreedy
3,3.0239415308993376,EpsilonGreedy
3,3.2276712869567743,EpsilonGreedy
3,4.062859201876715,EpsilonGreedy
3,2.9507191382283353,EpsilonGreedy
3,4.858286880429555,EpsilonGreedy
3,4.4540347977307935,EpsilonGreedy
3,4.838680883466512,EpsilonGreedy
3,5.395366650688394,EpsilonGreedy
3,3.4097899802910456,EpsilonGreedy
3,5.286706854365401,EpsilonGreedy
3,3.069744407708315,EpsilonGreedy
3,2.914390390579018,EpsilonGreedy
3,3.6365100681491977,EpsilonGreedy
3,4.286998357095498,EpsilonGreedy
3,3.4041135587153026,EpsilonGreedy
3,6.530342140837993,EpsilonGreedy
3,4.8506879956189595,EpsilonGreedy
3,1.8178472773231968,EpsilonGreedy
3,6.4866328461613705,EpsilonGreedy
3,3.8876783942700572,EpsilonGreedy
3,4.220466635024005,EpsilonGreedy
3,4.406101567341325,EpsilonGreedy
3,3.3718062208401323,EpsilonGreedy
3,4.761333242211142,EpsilonGreedy
3,2.9250712589210073,EpsilonGreedy
3,3.750619577577678,EpsilonGreedy
3,4.66348183527008,EpsilonGreedy
3,2.776972616887083,EpsilonGreedy
3,4.712502303065671,EpsilonGreedy
3,4.1482635715799,EpsilonGreedy
